CHECKSUM,FORCE,BLOCKSIZE,TRANSFORM,LEVEL,VERBOSE,ENTROPY,time
1,0,0,0,0,0,0,4.582
0,1,0,0,0,0,0,4.48
1,0,1,0,0,0,0,4.362
0,1,0,0,0,1,0,4.726
0,0,0,1,0,1,0,4.674
1,0,0,0,0,1,0,4.807
0,0,0,0,0,0,1,4.568
0,0,1,0,1,0,0,62.941
0,0,0,0,1,1,0,61.087
0,0,0,1,0,0,1,4.403
0,0,0,0,0,1,1,4.75
0,0,0,0,0,1,0,4.78
0,0,1,0,0,1,0,4.484
0,0,1,1,0,0,0,4.507
0,1,0,1,0,0,0,4.578
0,0,0,0,1,0,0,60.359
0,0,1,0,0,0,0,4.383
0,0,1,0,0,0,1,4.439
0,1,1,0,0,0,0,4.57
0,0,0,0,1,0,1,61.219
1,0,0,0,1,0,0,61.202
0,0,0,0,0,0,0,4.293
1,0,0,1,0,0,0,4.482
0,1,0,0,1,0,0,61.173
0,1,0,0,0,0,1,4.435
1,1,0,0,0,0,0,4.425
1,0,0,0,0,0,1,4.536
0,0,0,1,1,0,0,61.053
0,0,0,1,0,0,0,4.463
